epoch,train_loss,val_mean_acc,val_acc_at_t095,lr
0,0.901662,0.684599,0.850211,3.000000e-04
1,0.689289,0.688027,0.858650,2.995622e-04
2,0.664492,0.688819,0.858650,2.982518e-04
3,0.668549,0.695675,0.864979,2.960771e-04
4,0.663099,0.698576,0.867089,2.930524e-04
5,0.649862,0.707806,0.873418,2.891972e-04
6,0.650604,0.710443,0.871308,2.845366e-04
7,0.647016,0.709388,0.877637,2.791007e-04
8,0.644755,0.710707,0.890295,2.729248e-04
9,0.623905,0.722046,0.890295,2.660490e-04
10,0.634487,0.692774,0.890295,2.585178e-04
11,0.639337,0.713344,0.888186,2.503801e-04
12,0.626627,0.718618,0.890295,2.416887e-04
13,0.638753,0.708861,0.890295,2.325000e-04
14,0.634316,0.707278,0.892405,2.228735e-04
15,0.615913,0.714135,0.900844,2.128717e-04
16,0.617893,0.709388,0.877637,2.025594e-04
17,0.605451,0.710443,0.888186,1.920035e-04
18,0.617524,0.715981,0.890295,1.812725e-04
19,0.606817,0.721519,0.892405,1.704359e-04
20,0.624616,0.718354,0.894515,1.595641e-04
21,0.605974,0.713608,0.902954,1.487275e-04
